,sentence,cross,source_np0,target_np0,label
489,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film ' s creepy , clean - cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge .","as gamely as the movie tries to make sense of its title character , there remains 영화의 오싹하고 깔끔한 다머(제레미 레너)와 아무리 진지한 교과서 심리학으로도 메울 수 없는 악마 같은 행동 사이의 큰 간극 .","a huge gap between the film ' s creepy , clean - cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge",영화의 오싹하고 깔끔한 다머(제레미 레너)와 아무리 진지한 교과서 심리학으로도 메울 수 없는 악마 같은 행동 사이의 큰 간극,0
490,", schaeffer ' s film never settles into the light - footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm .",", 셰퍼의 영화 never settles into the light - footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm .",schaeffer ' s film,셰퍼의 영화,0
491,kills every sense of believability,kills 믿을 수 있는 모든 감각,every sense of believability,믿을 수 있는 모든 감각,0
492,that he ' s spiffing up leftovers that are n ' t so substantial or fresh,that 그는 spiffing up leftovers that are n ' t so substantial or fresh,he ' s,그는,0
493,ultimately satisfies with its moving story,ultimately satisfies with 감동적인 이야기,its moving story,감동적인 이야기,1
494,"( carvey ' s ) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark","( carvey 의 ) 문자 are both overplayed and exaggerated , but then again , subtlety has never been his trademark",( carvey ' s ) characters,( carvey 의 ) 문자,0
495,"as a director , eastwood is off his game - - there ' s no real sense of suspense , and none of the plot ` surprises ' are really surprising","as a director , eastwood is off his game - - there ' s no real sense of suspense , and 줄거리 '놀라움' 없음 are really surprising",none of the plot ` surprises ',줄거리 '놀라움' 없음,0
496,"the movie ' s conception of a future - world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized","모든 것을 알고 모든 질문에 대답하는 미래 세계의 홀로그램 사서(orlando jones)에 대한 영화의 개념, is visually smart , cleverly written , and nicely realized","the movie ' s conception of a future - world holographic librarian ( orlando jones ) who knows everything and answers all questions ,","모든 것을 알고 모든 질문에 대답하는 미래 세계의 홀로그램 사서(orlando jones)에 대한 영화의 개념,",1
497,inject some real vitality and even art,inject 진정한 활력과 예술까지,some real vitality and even art,진정한 활력과 예술까지,1
498,appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept,appears to have been made by 내러티브 논리 또는 응집력이라는 개념이 완전히 낯선 개념인 사람들,people to whom the idea of narrative logic or cohesion is an entirely foreign concept,내러티브 논리 또는 응집력이라는 개념이 완전히 낯선 개념인 사람들,0
499,makes its point too well,makes 그것의 요점 too well,its point,그것의 요점,1
